Block,Plot,BlockPlot,Code,Treatment,UniqueID,seasonyear,year,season,Individuals,SQRTIndividuals,LOGP1Individuals,BaselinePECI
2,8,2-8,P,Manual removal,"2,8,P",Spring2019,2019,Spring,186,13.6381817,3.269512944,32
3,7,3-7,P,Manual removal,"3,7,P",Spring2019,2019,Spring,121,11,3.08278537,27
4,2,4-2,P,Manual removal,"4,2,P",Spring2019,2019,Spring,402,20.04993766,3.604226053,70
1,1,1-1,PH,Manual removal and herbicide,"1,1,PH",Spring2019,2019,Spring,62,7.874007874,2.792391689,20
2,2,2-2,PH,Manual removal and herbicide,"2,2,PH",Spring2019,2019,Spring,20,4.472135955,2.301029996,33
3,3,3-3,PH,Manual removal and herbicide,"3,3,PH",Spring2019,2019,Spring,53,7.280109889,2.72427587,38
4,1,4-1,PH,Manual removal and herbicide,"4,1,PH",Spring2019,2019,Spring,139,11.78982612,3.1430148,50
1,4,1-4,CH,Cut and herbicide,"1,4,CH",Spring2020,2020,Spring,13,3.605551275,2.113943352,54
2,6,2-6,CH,Cut and herbicide,"2,6,CH",Spring2020,2020,Spring,3,1.732050808,1.477121255,49
3,6,3-6,CH,Cut and herbicide,"3,6,CH",Spring2020,2020,Spring,42,6.480740698,2.62324929,37
4,4,4-4,CH,Cut and herbicide,"4,4,CH",Spring2020,2020,Spring,18,4.242640687,2.255272505,65
1,6,1-6,CR,Uninvaded control,"1,6,CR",Spring2020,2020,Spring,0,0,0,0
2,1,2-1,CR,Uninvaded control,"2,1,CR",Spring2020,2020,Spring,0,0,0,0
3,1,3-1,CR,Uninvaded control,"3,1,CR",Spring2020,2020,Spring,0,0,0,0
4,3,4-3,CR,Uninvaded control,"4,3,CR",Spring2020,2020,Spring,6,2.449489743,1.77815125,2
1,5,1-5,H1x,Herbicide 1x,"1,5,H1x",Spring2020,2020,Spring,1,1,1,27
2,3,2-3,H1x,Herbicide 1x,"2,3,H1x",Spring2020,2020,Spring,0,0,0,33
3,4,3-4,H1x,Herbicide 1x,"3,4,H1x",Spring2020,2020,Spring,12,3.464101615,2.079181246,67
4,6,4-6,H1x,Herbicide 1x,"4,6,H1x",Spring2020,2020,Spring,12,3.464101615,2.079181246,66
1,2,1-2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Spring2020,2020,Spring,0,0,0,51
2,5,2-5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Spring2020,2020,Spring,0,0,0,44
3,2,3-2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Spring2020,2020,Spring,2,1.414213562,1.301029996,36
4,8,4-8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Spring2020,2020,Spring,12,3.464101615,2.079181246,78
1,7,1-7,H2x1x,Herbicide 3x,"1,7,H2x1x",Spring2020,2020,Spring,0,0,0,29
2,7,2-7,H2x1x,Herbicide 3x,"2,7,H2x1x",Spring2020,2020,Spring,0,0,0,43
3,8,3-8,H2x1x,Herbicide 3x,"3,8,H2x1x",Spring2020,2020,Spring,0,0,0,40
4,5,4-5,H2x1x,Herbicide 3x,"4,5,H2x1x",Spring2020,2020,Spring,1,1,1,52
1,3,1-3,P,Manual removal,"1,3,P",Spring2020,2020,Spring,31,5.567764363,2.491361694,53
2,8,2-8,P,Manual removal,"2,8,P",Spring2020,2020,Spring,12,3.464101615,2.079181246,32
3,7,3-7,P,Manual removal,"3,7,P",Spring2020,2020,Spring,103,10.14889157,3.012837225,27
4,2,4-2,P,Manual removal,"4,2,P",Spring2020,2020,Spring,120,10.95445115,3.079181246,70
1,1,1-1,PH,Manual removal and herbicide,"1,1,PH",Spring2020,2020,Spring,2,1.414213562,1.301029996,20
2,2,2-2,PH,Manual removal and herbicide,"2,2,PH",Spring2020,2020,Spring,3,1.732050808,1.477121255,33
3,3,3-3,PH,Manual removal and herbicide,"3,3,PH",Spring2020,2020,Spring,8,2.828427125,1.903089987,38
4,1,4-1,PH,Manual removal and herbicide,"4,1,PH",Spring2020,2020,Spring,7,2.645751311,1.84509804,50
1,4,1-4,CH,Cut and herbicide,"1,4,CH",Fall2021,2021,Fall,12,3.464101615,2.079181246,54
2,6,2-6,CH,Cut and herbicide,"2,6,CH",Fall2021,2021,Fall,1,1,1,49
3,6,3-6,CH,Cut and herbicide,"3,6,CH",Fall2021,2021,Fall,9,3,1.954242509,37
4,4,4-4,CH,Cut and herbicide,"4,4,CH",Fall2021,2021,Fall,37,6.08276253,2.568201724,65
1,6,1-6,CR,Uninvaded control,"1,6,CR",Fall2021,2021,Fall,4,2,1.602059991,0
2,1,2-1,CR,Uninvaded control,"2,1,CR",Fall2021,2021,Fall,0,0,0,0
3,1,3-1,CR,Uninvaded control,"3,1,CR",Fall2021,2021,Fall,0,0,0,0
4,3,4-3,CR,Uninvaded control,"4,3,CR",Fall2021,2021,Fall,24,4.898979486,2.380211242,2
1,5,1-5,H1x,Herbicide 1x,"1,5,H1x",Fall2021,2021,Fall,3,1.732050808,1.477121255,27
2,3,2-3,H1x,Herbicide 1x,"2,3,H1x",Fall2021,2021,Fall,9,3,1.954242509,33
3,4,3-4,H1x,Herbicide 1x,"3,4,H1x",Fall2021,2021,Fall,8,2.828427125,1.903089987,67
4,6,4-6,H1x,Herbicide 1x,"4,6,H1x",Fall2021,2021,Fall,12,3.464101615,2.079181246,66
1,2,1-2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Fall2021,2021,Fall,10,3.16227766,2,51
2,5,2-5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Fall2021,2021,Fall,1,1,1,44
3,2,3-2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Fall2021,2021,Fall,0,0,0,36
4,8,4-8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Fall2021,2021,Fall,24,4.898979486,2.380211242,78
1,7,1-7,H2x1x,Herbicide 3x,"1,7,H2x1x",Fall2021,2021,Fall,6,2.449489743,1.77815125,29
2,7,2-7,H2x1x,Herbicide 3x,"2,7,H2x1x",Fall2021,2021,Fall,3,1.732050808,1.477121255,43
3,8,3-8,H2x1x,Herbicide 3x,"3,8,H2x1x",Fall2021,2021,Fall,1,1,1,40
4,5,4-5,H2x1x,Herbicide 3x,"4,5,H2x1x",Fall2021,2021,Fall,1,1,1,52
1,3,1-3,P,Manual removal,"1,3,P",Fall2021,2021,Fall,35,5.916079783,2.544068044,53
2,8,2-8,P,Manual removal,"2,8,P",Fall2021,2021,Fall,97,9.848857802,2.986771734,32
3,7,3-7,P,Manual removal,"3,7,P",Fall2021,2021,Fall,68,8.246211251,2.832508913,27
4,2,4-2,P,Manual removal,"4,2,P",Fall2021,2021,Fall,144,12,3.158362492,70
1,1,1-1,PH,Manual removal and herbicide,"1,1,PH",Fall2021,2021,Fall,2,1.414213562,1.301029996,20
2,2,2-2,PH,Manual removal and herbicide,"2,2,PH",Fall2021,2021,Fall,13,3.605551275,2.113943352,33
3,3,3-3,PH,Manual removal and herbicide,"3,3,PH",Fall2021,2021,Fall,3,1.732050808,1.477121255,38
4,1,4-1,PH,Manual removal and herbicide,"4,1,PH",Fall2021,2021,Fall,8,2.828427125,1.903089987,50
1,4,1-4,CH,Cut and herbicide,"1,4,CH",Spring2021,2021,Spring,0,0,0,54
2,6,2-6,CH,Cut and herbicide,"2,6,CH",Spring2021,2021,Spring,0,0,0,49
3,6,3-6,CH,Cut and herbicide,"3,6,CH",Spring2021,2021,Spring,0,0,0,37
4,4,4-4,CH,Cut and herbicide,"4,4,CH",Spring2021,2021,Spring,0,0,0,65
1,6,1-6,CR,Uninvaded control,"1,6,CR",Spring2021,2021,Spring,0,0,0,0
2,1,2-1,CR,Uninvaded control,"2,1,CR",Spring2021,2021,Spring,0,0,0,0
3,1,3-1,CR,Uninvaded control,"3,1,CR",Spring2021,2021,Spring,0,0,0,0
4,3,4-3,CR,Uninvaded control,"4,3,CR",Spring2021,2021,Spring,0,0,0,2
1,5,1-5,H1x,Herbicide 1x,"1,5,H1x",Spring2021,2021,Spring,1,1,1,27
2,3,2-3,H1x,Herbicide 1x,"2,3,H1x",Spring2021,2021,Spring,0,0,0,33
3,4,3-4,H1x,Herbicide 1x,"3,4,H1x",Spring2021,2021,Spring,0,0,0,67
4,6,4-6,H1x,Herbicide 1x,"4,6,H1x",Spring2021,2021,Spring,1,1,1,66
1,2,1-2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Spring2021,2021,Spring,0,0,0,51
2,5,2-5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Spring2021,2021,Spring,0,0,0,44
3,2,3-2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Spring2021,2021,Spring,0,0,0,36
4,8,4-8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Spring2021,2021,Spring,0,0,0,78
1,7,1-7,H2x1x,Herbicide 3x,"1,7,H2x1x",Spring2021,2021,Spring,0,0,0,29
2,7,2-7,H2x1x,Herbicide 3x,"2,7,H2x1x",Spring2021,2021,Spring,0,0,0,43
3,8,3-8,H2x1x,Herbicide 3x,"3,8,H2x1x",Spring2021,2021,Spring,0,0,0,40
4,5,4-5,H2x1x,Herbicide 3x,"4,5,H2x1x",Spring2021,2021,Spring,0,0,0,52
1,3,1-3,P,Manual removal,"1,3,P",Spring2021,2021,Spring,1,1,1,53
2,8,2-8,P,Manual removal,"2,8,P",Spring2021,2021,Spring,2,1.414213562,1.301029996,32
3,7,3-7,P,Manual removal,"3,7,P",Spring2021,2021,Spring,0,0,0,27
4,2,4-2,P,Manual removal,"4,2,P",Spring2021,2021,Spring,2,1.414213562,1.301029996,70
1,1,1-1,PH,Manual removal and herbicide,"1,1,PH",Spring2021,2021,Spring,0,0,0,20
2,2,2-2,PH,Manual removal and herbicide,"2,2,PH",Spring2021,2021,Spring,2,1.414213562,1.301029996,33
3,3,3-3,PH,Manual removal and herbicide,"3,3,PH",Spring2021,2021,Spring,0,0,0,38
4,1,4-1,PH,Manual removal and herbicide,"4,1,PH",Spring2021,2021,Spring,0,0,0,50
1,4,1-4,CH,Cut and herbicide,"1,4,CH",Spring2022,2022,Spring,13,3.605551275,2.113943352,54
2,6,2-6,CH,Cut and herbicide,"2,6,CH",Spring2022,2022,Spring,2,1.414213562,1.301029996,49
3,6,3-6,CH,Cut and herbicide,"3,6,CH",Spring2022,2022,Spring,13,3.605551275,2.113943352,37
4,4,4-4,CH,Cut and herbicide,"4,4,CH",Spring2022,2022,Spring,28,5.291502622,2.447158031,65
1,6,1-6,CR,Uninvaded control,"1,6,CR",Spring2022,2022,Spring,0,0,0,0
2,1,2-1,CR,Uninvaded control,"2,1,CR",Spring2022,2022,Spring,0,0,0,0
3,1,3-1,CR,Uninvaded control,"3,1,CR",Spring2022,2022,Spring,0,0,0,0
4,3,4-3,CR,Uninvaded control,"4,3,CR",Spring2022,2022,Spring,0,0,0,2
1,5,1-5,H1x,Herbicide 1x,"1,5,H1x",Spring2022,2022,Spring,2,1.414213562,1.301029996,27
2,3,2-3,H1x,Herbicide 1x,"2,3,H1x",Spring2022,2022,Spring,15,3.872983346,2.176091259,33
3,4,3-4,H1x,Herbicide 1x,"3,4,H1x",Spring2022,2022,Spring,2,1.414213562,1.301029996,67
4,6,4-6,H1x,Herbicide 1x,"4,6,H1x",Spring2022,2022,Spring,10,3.16227766,2,66
1,2,1-2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Spring2022,2022,Spring,9,3,1.954242509,51
2,5,2-5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Spring2022,2022,Spring,1,1,1,44
3,2,3-2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Spring2022,2022,Spring,0,0,0,36
4,8,4-8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Spring2022,2022,Spring,4,2,1.602059991,78
1,7,1-7,H2x1x,Herbicide 3x,"1,7,H2x1x",Spring2022,2022,Spring,1,1,1,29
2,7,2-7,H2x1x,Herbicide 3x,"2,7,H2x1x",Spring2022,2022,Spring,1,1,1,43
3,8,3-8,H2x1x,Herbicide 3x,"3,8,H2x1x",Spring2022,2022,Spring,1,1,1,40
4,5,4-5,H2x1x,Herbicide 3x,"4,5,H2x1x",Spring2022,2022,Spring,1,1,1,52
1,3,1-3,P,Manual removal,"1,3,P",Spring2022,2022,Spring,40,6.32455532,2.602059991,53
2,8,2-8,P,Manual removal,"2,8,P",Spring2022,2022,Spring,104,10.19803903,3.017033339,32
3,7,3-7,P,Manual removal,"3,7,P",Spring2022,2022,Spring,59,7.681145748,2.770852012,27
4,2,4-2,P,Manual removal,"4,2,P",Spring2022,2022,Spring,270,16.43167673,3.431363764,70
1,1,1-1,PH,Manual removal and herbicide,"1,1,PH",Spring2022,2022,Spring,1,1,1,20
2,2,2-2,PH,Manual removal and herbicide,"2,2,PH",Spring2022,2022,Spring,8,2.828427125,1.903089987,33
3,3,3-3,PH,Manual removal and herbicide,"3,3,PH",Spring2022,2022,Spring,3,1.732050808,1.477121255,38
4,1,4-1,PH,Manual removal and herbicide,"4,1,PH",Spring2022,2022,Spring,16,4,2.204119983,50
1,4,1-4,CH,Cut and herbicide,"1,4,CH",Fall2022,2022,Fall,18,4.242640687,2.255272505,54
2,6,2-6,CH,Cut and herbicide,"2,6,CH",Fall2022,2022,Fall,0,0,0,49
3,6,3-6,CH,Cut and herbicide,"3,6,CH",Fall2022,2022,Fall,8,2.828427125,1.903089987,37
4,4,4-4,CH,Cut and herbicide,"4,4,CH",Fall2022,2022,Fall,10,3.16227766,2,65
1,6,1-6,CR,Uninvaded control,"1,6,CR",Fall2022,2022,Fall,0,0,0,0
2,1,2-1,CR,Uninvaded control,"2,1,CR",Fall2022,2022,Fall,0,0,0,0
3,1,3-1,CR,Uninvaded control,"3,1,CR",Fall2022,2022,Fall,0,0,0,0
4,3,4-3,CR,Uninvaded control,"4,3,CR",Fall2022,2022,Fall,0,0,0,2
1,5,1-5,H1x,Herbicide 1x,"1,5,H1x",Fall2022,2022,Fall,1,1,1,27
2,3,2-3,H1x,Herbicide 1x,"2,3,H1x",Fall2022,2022,Fall,6,2.449489743,1.77815125,33
3,4,3-4,H1x,Herbicide 1x,"3,4,H1x",Fall2022,2022,Fall,21,4.582575695,2.322219295,67
4,6,4-6,H1x,Herbicide 1x,"4,6,H1x",Fall2022,2022,Fall,23,4.795831523,2.361727836,66
1,2,1-2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Fall2022,2022,Fall,35,5.916079783,2.544068044,51
2,5,2-5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Fall2022,2022,Fall,2,1.414213562,1.301029996,44
3,2,3-2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Fall2022,2022,Fall,0,0,0,36
4,8,4-8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Fall2022,2022,Fall,10,3.16227766,2,78
1,7,1-7,H2x1x,Herbicide 3x,"1,7,H2x1x",Fall2022,2022,Fall,4,2,1.602059991,29
2,7,2-7,H2x1x,Herbicide 3x,"2,7,H2x1x",Fall2022,2022,Fall,2,1.414213562,1.301029996,43
3,8,3-8,H2x1x,Herbicide 3x,"3,8,H2x1x",Fall2022,2022,Fall,6,2.449489743,1.77815125,40
4,5,4-5,H2x1x,Herbicide 3x,"4,5,H2x1x",Fall2022,2022,Fall,2,1.414213562,1.301029996,52
1,3,1-3,P,Manual removal,"1,3,P",Fall2022,2022,Fall,47,6.8556546,2.672097858,53
2,8,2-8,P,Manual removal,"2,8,P",Fall2022,2022,Fall,39,6.244997998,2.591064607,32
3,7,3-7,P,Manual removal,"3,7,P",Fall2022,2022,Fall,61,7.810249676,2.785329835,27
4,2,4-2,P,Manual removal,"4,2,P",Fall2022,2022,Fall,113,10.63014581,3.053078443,70
1,1,1-1,PH,Manual removal and herbicide,"1,1,PH",Fall2022,2022,Fall,2,1.414213562,1.301029996,20
2,2,2-2,PH,Manual removal and herbicide,"2,2,PH",Fall2022,2022,Fall,2,1.414213562,1.301029996,33
3,3,3-3,PH,Manual removal and herbicide,"3,3,PH",Fall2022,2022,Fall,5,2.236067977,1.698970004,38
4,1,4-1,PH,Manual removal and herbicide,"4,1,PH",Fall2022,2022,Fall,6,2.449489743,1.77815125,50
