Block,Plot,BlockPlot,Code,Treatment,UniqueID,seasonyear,year,season,Individuals,SQRTIndividuals,LOGP1Individuals
3,3,bp3_3,PH,Manual removal and herbicide,"3,3,PH",Spring2019,2019,Spring,53,7.280109889,1.73239376
4,1,bp4_1,PH,Manual removal and herbicide,"4,1,PH",Spring2019,2019,Spring,139,11.78982612,2.146128036
1,4,bp1_4,CH,Cut and herbicide,"1,4,CH",Spring2020,2020,Spring,13,3.605551275,1.146128036
2,6,bp2_6,CH,Cut and herbicide,"2,6,CH",Spring2020,2020,Spring,3,1.732050808,0.602059991
3,6,bp3_6,CH,Cut and herbicide,"3,6,CH",Spring2020,2020,Spring,42,6.480740698,1.633468456
4,4,bp4_4,CH,Cut and herbicide,"4,4,CH",Spring2020,2020,Spring,18,4.242640687,1.278753601
1,6,bp1_6,CR,Uninvaded control,"1,6,CR",Spring2020,2020,Spring,0,0,0
2,1,bp2_1,CR,Uninvaded control,"2,1,CR",Spring2020,2020,Spring,0,0,0
3,1,bp3_1,CR,Uninvaded control,"3,1,CR",Spring2020,2020,Spring,0,0,0
4,3,bp4_3,CR,Uninvaded control,"4,3,CR",Spring2020,2020,Spring,6,2.449489743,0.84509804
1,5,bp1_5,H1x,Herbicide 1x,"1,5,H1x",Spring2020,2020,Spring,1,1,0.301029996
2,3,bp2_3,H1x,Herbicide 1x,"2,3,H1x",Spring2020,2020,Spring,0,0,0
3,4,bp3_4,H1x,Herbicide 1x,"3,4,H1x",Spring2020,2020,Spring,12,3.464101615,1.113943352
4,6,bp4_6,H1x,Herbicide 1x,"4,6,H1x",Spring2020,2020,Spring,12,3.464101615,1.113943352
1,2,bp1_2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Spring2020,2020,Spring,0,0,0
2,5,bp2_5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Spring2020,2020,Spring,0,0,0
3,2,bp3_2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Spring2020,2020,Spring,2,1.414213562,0.477121255
4,8,bp4_8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Spring2020,2020,Spring,12,3.464101615,1.113943352
1,7,bp1_7,H2x1x,Herbicide 3x,"1,7,H2x1x",Spring2020,2020,Spring,0,0,0
2,7,bp2_7,H2x1x,Herbicide 3x,"2,7,H2x1x",Spring2020,2020,Spring,0,0,0
3,8,bp3_8,H2x1x,Herbicide 3x,"3,8,H2x1x",Spring2020,2020,Spring,0,0,0
4,5,bp4_5,H2x1x,Herbicide 3x,"4,5,H2x1x",Spring2020,2020,Spring,1,1,0.301029996
1,3,bp1_3,P,Manual removal,"1,3,P",Spring2020,2020,Spring,31,5.567764363,1.505149978
2,8,bp2_8,P,Manual removal,"2,8,P",Spring2020,2020,Spring,12,3.464101615,1.113943352
3,7,bp3_7,P,Manual removal,"3,7,P",Spring2020,2020,Spring,103,10.14889157,2.017033339
4,2,bp4_2,P,Manual removal,"4,2,P",Spring2020,2020,Spring,120,10.95445115,2.08278537
1,1,bp1_1,PH,Manual removal and herbicide,"1,1,PH",Spring2020,2020,Spring,2,1.414213562,0.477121255
2,2,bp2_2,PH,Manual removal and herbicide,"2,2,PH",Spring2020,2020,Spring,3,1.732050808,0.602059991
3,3,bp3_3,PH,Manual removal and herbicide,"3,3,PH",Spring2020,2020,Spring,8,2.828427125,0.954242509
4,1,bp4_1,PH,Manual removal and herbicide,"4,1,PH",Spring2020,2020,Spring,7,2.645751311,0.903089987
1,4,bp1_4,CH,Cut and herbicide,"1,4,CH",Fall2021,2021,Fall,12,3.464101615,1.113943352
2,6,bp2_6,CH,Cut and herbicide,"2,6,CH",Fall2021,2021,Fall,1,1,0.301029996
3,6,bp3_6,CH,Cut and herbicide,"3,6,CH",Fall2021,2021,Fall,9,3,1
4,4,bp4_4,CH,Cut and herbicide,"4,4,CH",Fall2021,2021,Fall,37,6.08276253,1.579783597
1,6,bp1_6,CR,Uninvaded control,"1,6,CR",Fall2021,2021,Fall,4,2,0.698970004
2,1,bp2_1,CR,Uninvaded control,"2,1,CR",Fall2021,2021,Fall,0,0,0
3,1,bp3_1,CR,Uninvaded control,"3,1,CR",Fall2021,2021,Fall,0,0,0
4,3,bp4_3,CR,Uninvaded control,"4,3,CR",Fall2021,2021,Fall,24,4.898979486,1.397940009
1,5,bp1_5,H1x,Herbicide 1x,"1,5,H1x",Fall2021,2021,Fall,3,1.732050808,0.602059991
2,3,bp2_3,H1x,Herbicide 1x,"2,3,H1x",Fall2021,2021,Fall,9,3,1
3,4,bp3_4,H1x,Herbicide 1x,"3,4,H1x",Fall2021,2021,Fall,8,2.828427125,0.954242509
4,6,bp4_6,H1x,Herbicide 1x,"4,6,H1x",Fall2021,2021,Fall,12,3.464101615,1.113943352
1,2,bp1_2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Fall2021,2021,Fall,10,3.16227766,1.041392685
2,5,bp2_5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Fall2021,2021,Fall,1,1,0.301029996
3,2,bp3_2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Fall2021,2021,Fall,0,0,0
4,8,bp4_8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Fall2021,2021,Fall,24,4.898979486,1.397940009
1,7,bp1_7,H2x1x,Herbicide 3x,"1,7,H2x1x",Fall2021,2021,Fall,6,2.449489743,0.84509804
2,7,bp2_7,H2x1x,Herbicide 3x,"2,7,H2x1x",Fall2021,2021,Fall,3,1.732050808,0.602059991
3,8,bp3_8,H2x1x,Herbicide 3x,"3,8,H2x1x",Fall2021,2021,Fall,1,1,0.301029996
4,5,bp4_5,H2x1x,Herbicide 3x,"4,5,H2x1x",Fall2021,2021,Fall,1,1,0.301029996
1,3,bp1_3,P,Manual removal,"1,3,P",Fall2021,2021,Fall,35,5.916079783,1.556302501
2,8,bp2_8,P,Manual removal,"2,8,P",Fall2021,2021,Fall,97,9.848857802,1.991226076
3,7,bp3_7,P,Manual removal,"3,7,P",Fall2021,2021,Fall,68,8.246211251,1.838849091
4,2,bp4_2,P,Manual removal,"4,2,P",Fall2021,2021,Fall,144,12,2.161368002
1,1,bp1_1,PH,Manual removal and herbicide,"1,1,PH",Fall2021,2021,Fall,2,1.414213562,0.477121255
2,2,bp2_2,PH,Manual removal and herbicide,"2,2,PH",Fall2021,2021,Fall,13,3.605551275,1.146128036
3,3,bp3_3,PH,Manual removal and herbicide,"3,3,PH",Fall2021,2021,Fall,3,1.732050808,0.602059991
4,1,bp4_1,PH,Manual removal and herbicide,"4,1,PH",Fall2021,2021,Fall,8,2.828427125,0.954242509
1,4,bp1_4,CH,Cut and herbicide,"1,4,CH",Spring2021,2021,Spring,0,0,0
2,6,bp2_6,CH,Cut and herbicide,"2,6,CH",Spring2021,2021,Spring,0,0,0
3,6,bp3_6,CH,Cut and herbicide,"3,6,CH",Spring2021,2021,Spring,0,0,0
4,4,bp4_4,CH,Cut and herbicide,"4,4,CH",Spring2021,2021,Spring,0,0,0
1,6,bp1_6,CR,Uninvaded control,"1,6,CR",Spring2021,2021,Spring,0,0,0
2,1,bp2_1,CR,Uninvaded control,"2,1,CR",Spring2021,2021,Spring,0,0,0
3,1,bp3_1,CR,Uninvaded control,"3,1,CR",Spring2021,2021,Spring,0,0,0
4,3,bp4_3,CR,Uninvaded control,"4,3,CR",Spring2021,2021,Spring,0,0,0
1,5,bp1_5,H1x,Herbicide 1x,"1,5,H1x",Spring2021,2021,Spring,1,1,0.301029996
2,3,bp2_3,H1x,Herbicide 1x,"2,3,H1x",Spring2021,2021,Spring,0,0,0
3,4,bp3_4,H1x,Herbicide 1x,"3,4,H1x",Spring2021,2021,Spring,0,0,0
4,6,bp4_6,H1x,Herbicide 1x,"4,6,H1x",Spring2021,2021,Spring,1,1,0.301029996
1,2,bp1_2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Spring2021,2021,Spring,0,0,0
2,5,bp2_5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Spring2021,2021,Spring,0,0,0
3,2,bp3_2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Spring2021,2021,Spring,0,0,0
4,8,bp4_8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Spring2021,2021,Spring,0,0,0
1,7,bp1_7,H2x1x,Herbicide 3x,"1,7,H2x1x",Spring2021,2021,Spring,0,0,0
2,7,bp2_7,H2x1x,Herbicide 3x,"2,7,H2x1x",Spring2021,2021,Spring,0,0,0
3,8,bp3_8,H2x1x,Herbicide 3x,"3,8,H2x1x",Spring2021,2021,Spring,0,0,0
4,5,bp4_5,H2x1x,Herbicide 3x,"4,5,H2x1x",Spring2021,2021,Spring,0,0,0
1,3,bp1_3,P,Manual removal,"1,3,P",Spring2021,2021,Spring,1,1,0.301029996
2,8,bp2_8,P,Manual removal,"2,8,P",Spring2021,2021,Spring,2,1.414213562,0.477121255
3,7,bp3_7,P,Manual removal,"3,7,P",Spring2021,2021,Spring,0,0,0
4,2,bp4_2,P,Manual removal,"4,2,P",Spring2021,2021,Spring,2,1.414213562,0.477121255
1,1,bp1_1,PH,Manual removal and herbicide,"1,1,PH",Spring2021,2021,Spring,0,0,0
2,2,bp2_2,PH,Manual removal and herbicide,"2,2,PH",Spring2021,2021,Spring,2,1.414213562,0.477121255
3,3,bp3_3,PH,Manual removal and herbicide,"3,3,PH",Spring2021,2021,Spring,0,0,0
4,1,bp4_1,PH,Manual removal and herbicide,"4,1,PH",Spring2021,2021,Spring,0,0,0
1,4,bp1_4,CH,Cut and herbicide,"1,4,CH",Spring2022,2022,Spring,13,3.605551275,1.146128036
2,6,bp2_6,CH,Cut and herbicide,"2,6,CH",Spring2022,2022,Spring,2,1.414213562,0.477121255
3,6,bp3_6,CH,Cut and herbicide,"3,6,CH",Spring2022,2022,Spring,13,3.605551275,1.146128036
4,4,bp4_4,CH,Cut and herbicide,"4,4,CH",Spring2022,2022,Spring,28,5.291502622,1.462397998
1,6,bp1_6,CR,Uninvaded control,"1,6,CR",Spring2022,2022,Spring,0,0,0
2,1,bp2_1,CR,Uninvaded control,"2,1,CR",Spring2022,2022,Spring,0,0,0
3,1,bp3_1,CR,Uninvaded control,"3,1,CR",Spring2022,2022,Spring,0,0,0
4,3,bp4_3,CR,Uninvaded control,"4,3,CR",Spring2022,2022,Spring,0,0,0
1,5,bp1_5,H1x,Herbicide 1x,"1,5,H1x",Spring2022,2022,Spring,2,1.414213562,0.477121255
2,3,bp2_3,H1x,Herbicide 1x,"2,3,H1x",Spring2022,2022,Spring,15,3.872983346,1.204119983
3,4,bp3_4,H1x,Herbicide 1x,"3,4,H1x",Spring2022,2022,Spring,2,1.414213562,0.477121255
4,6,bp4_6,H1x,Herbicide 1x,"4,6,H1x",Spring2022,2022,Spring,10,3.16227766,1.041392685
1,2,bp1_2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Spring2022,2022,Spring,9,3,1
2,5,bp2_5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Spring2022,2022,Spring,1,1,0.301029996
3,2,bp3_2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Spring2022,2022,Spring,0,0,0
4,8,bp4_8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Spring2022,2022,Spring,4,2,0.698970004
1,7,bp1_7,H2x1x,Herbicide 3x,"1,7,H2x1x",Spring2022,2022,Spring,1,1,0.301029996
2,7,bp2_7,H2x1x,Herbicide 3x,"2,7,H2x1x",Spring2022,2022,Spring,1,1,0.301029996
3,8,bp3_8,H2x1x,Herbicide 3x,"3,8,H2x1x",Spring2022,2022,Spring,1,1,0.301029996
4,5,bp4_5,H2x1x,Herbicide 3x,"4,5,H2x1x",Spring2022,2022,Spring,1,1,0.301029996
1,3,bp1_3,P,Manual removal,"1,3,P",Spring2022,2022,Spring,40,6.32455532,1.612783857
2,8,bp2_8,P,Manual removal,"2,8,P",Spring2022,2022,Spring,104,10.19803903,2.021189299
3,7,bp3_7,P,Manual removal,"3,7,P",Spring2022,2022,Spring,59,7.681145748,1.77815125
4,2,bp4_2,P,Manual removal,"4,2,P",Spring2022,2022,Spring,270,16.43167673,2.432969291
1,1,bp1_1,PH,Manual removal and herbicide,"1,1,PH",Spring2022,2022,Spring,1,1,0.301029996
2,2,bp2_2,PH,Manual removal and herbicide,"2,2,PH",Spring2022,2022,Spring,8,2.828427125,0.954242509
3,3,bp3_3,PH,Manual removal and herbicide,"3,3,PH",Spring2022,2022,Spring,3,1.732050808,0.602059991
4,1,bp4_1,PH,Manual removal and herbicide,"4,1,PH",Spring2022,2022,Spring,16,4,1.230448921
1,4,bp1_4,CH,Cut and herbicide,"1,4,CH",Fall2020,2020,Fall,0,0,0
2,6,bp2_6,CH,Cut and herbicide,"2,6,CH",Fall2020,2020,Fall,0,0,0
3,6,bp3_6,CH,Cut and herbicide,"3,6,CH",Fall2020,2020,Fall,0,0,0
4,4,bp4_4,CH,Cut and herbicide,"4,4,CH",Fall2020,2020,Fall,0,0,0
1,6,bp1_6,CR,Uninvaded control,"1,6,CR",Fall2020,2020,Fall,0,0,0
2,1,bp2_1,CR,Uninvaded control,"2,1,CR",Fall2020,2020,Fall,0,0,0
3,1,bp3_1,CR,Uninvaded control,"3,1,CR",Fall2020,2020,Fall,0,0,0
4,3,bp4_3,CR,Uninvaded control,"4,3,CR",Fall2020,2020,Fall,0,0,0
1,5,bp1_5,H1x,Herbicide 1x,"1,5,H1x",Fall2020,2020,Fall,0,0,0
2,3,bp2_3,H1x,Herbicide 1x,"2,3,H1x",Fall2020,2020,Fall,0,0,0
3,4,bp3_4,H1x,Herbicide 1x,"3,4,H1x",Fall2020,2020,Fall,0,0,0
4,6,bp4_6,H1x,Herbicide 1x,"4,6,H1x",Fall2020,2020,Fall,0,0,0
1,2,bp1_2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Fall2020,2020,Fall,0,0,0
2,5,bp2_5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Fall2020,2020,Fall,0,0,0
3,2,bp3_2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Fall2020,2020,Fall,0,0,0
4,8,bp4_8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Fall2020,2020,Fall,0,0,0
1,7,bp1_7,H2x1x,Herbicide 3x,"1,7,H2x1x",Fall2020,2020,Fall,0,0,0
2,7,bp2_7,H2x1x,Herbicide 3x,"2,7,H2x1x",Fall2020,2020,Fall,0,0,0
3,8,bp3_8,H2x1x,Herbicide 3x,"3,8,H2x1x",Fall2020,2020,Fall,0,0,0
4,5,bp4_5,H2x1x,Herbicide 3x,"4,5,H2x1x",Fall2020,2020,Fall,0,0,0
1,3,bp1_3,P,Manual removal,"1,3,P",Fall2020,2020,Fall,0,0,0
2,8,bp2_8,P,Manual removal,"2,8,P",Fall2020,2020,Fall,0,0,0
3,7,bp3_7,P,Manual removal,"3,7,P",Fall2020,2020,Fall,0,0,0
4,2,bp4_2,P,Manual removal,"4,2,P",Fall2020,2020,Fall,0,0,0
1,1,bp1_1,PH,Manual removal and herbicide,"1,1,PH",Fall2020,2020,Fall,0,0,0
2,2,bp2_2,PH,Manual removal and herbicide,"2,2,PH",Fall2020,2020,Fall,0,0,0
3,3,bp3_3,PH,Manual removal and herbicide,"3,3,PH",Fall2020,2020,Fall,0,0,0
4,1,bp4_1,PH,Manual removal and herbicide,"4,1,PH",Fall2020,2020,Fall,0,0,0
1,4,bp1_4,CH,Cut and herbicide,"1,4,CH",Fall2022,2022,Fall,18,4.242640687,1.278753601
2,6,bp2_6,CH,Cut and herbicide,"2,6,CH",Fall2022,2022,Fall,0,0,0
3,6,bp3_6,CH,Cut and herbicide,"3,6,CH",Fall2022,2022,Fall,8,2.828427125,0.954242509
4,4,bp4_4,CH,Cut and herbicide,"4,4,CH",Fall2022,2022,Fall,10,3.16227766,1.041392685
1,6,bp1_6,CR,Uninvaded control,"1,6,CR",Fall2022,2022,Fall,0,0,0
2,1,bp2_1,CR,Uninvaded control,"2,1,CR",Fall2022,2022,Fall,0,0,0
3,1,bp3_1,CR,Uninvaded control,"3,1,CR",Fall2022,2022,Fall,0,0,0
4,3,bp4_3,CR,Uninvaded control,"4,3,CR",Fall2022,2022,Fall,0,0,0
1,5,bp1_5,H1x,Herbicide 1x,"1,5,H1x",Fall2022,2022,Fall,1,1,0.301029996
2,3,bp2_3,H1x,Herbicide 1x,"2,3,H1x",Fall2022,2022,Fall,6,2.449489743,0.84509804
3,4,bp3_4,H1x,Herbicide 1x,"3,4,H1x",Fall2022,2022,Fall,21,4.582575695,1.342422681
4,6,bp4_6,H1x,Herbicide 1x,"4,6,H1x",Fall2022,2022,Fall,23,4.795831523,1.380211242
1,2,bp1_2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Fall2022,2022,Fall,35,5.916079783,1.556302501
2,5,bp2_5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Fall2022,2022,Fall,2,1.414213562,0.477121255
3,2,bp3_2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Fall2022,2022,Fall,0,0,0
4,8,bp4_8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Fall2022,2022,Fall,10,3.16227766,1.041392685
1,7,bp1_7,H2x1x,Herbicide 3x,"1,7,H2x1x",Fall2022,2022,Fall,4,2,0.698970004
2,7,bp2_7,H2x1x,Herbicide 3x,"2,7,H2x1x",Fall2022,2022,Fall,2,1.414213562,0.477121255
3,8,bp3_8,H2x1x,Herbicide 3x,"3,8,H2x1x",Fall2022,2022,Fall,6,2.449489743,0.84509804
4,5,bp4_5,H2x1x,Herbicide 3x,"4,5,H2x1x",Fall2022,2022,Fall,2,1.414213562,0.477121255
1,3,bp1_3,P,Manual removal,"1,3,P",Fall2022,2022,Fall,47,6.8556546,1.681241237
2,8,bp2_8,P,Manual removal,"2,8,P",Fall2022,2022,Fall,39,6.244997998,1.602059991
3,7,bp3_7,P,Manual removal,"3,7,P",Fall2022,2022,Fall,61,7.810249676,1.792391689
4,2,bp4_2,P,Manual removal,"4,2,P",Fall2022,2022,Fall,113,10.63014581,2.056904851
1,1,bp1_1,PH,Manual removal and herbicide,"1,1,PH",Fall2022,2022,Fall,2,1.414213562,0.477121255
2,2,bp2_2,PH,Manual removal and herbicide,"2,2,PH",Fall2022,2022,Fall,3,1.732050808,0.602059991
3,3,bp3_3,PH,Manual removal and herbicide,"3,3,PH",Fall2022,2022,Fall,5,2.236067977,0.77815125
4,1,bp4_1,PH,Manual removal and herbicide,"4,1,PH",Fall2022,2022,Fall,7,2.645751311,0.903089987
