Block,Plot,BlockPlot,Code,Treatment,TreatFreq,UniqueID,seasonyear,year,season,Individuals,SQRTIndividuals,LOGP1Individuals
1,2,2-Jan,H1x1x,Herbicide 1x1x,10,"1,2,H1x1x",Fall2021,2021,Fall,10,3.16227766,1.041392685
2,5,5-Feb,H1x1x,Herbicide 1x1x,10,"2,5,H1x1x",Fall2021,2021,Fall,1,1,0.301029996
3,2,2-Mar,H1x1x,Herbicide 1x1x,10,"3,2,H1x1x",Fall2021,2021,Fall,0,0,0
4,8,8-Apr,H1x1x,Herbicide 1x1x,10,"4,8,H1x1x",Fall2021,2021,Fall,24,4.898979486,1.397940009
1,2,2-Jan,H1x1x,Herbicide 1x1x,10,"1,2,H1x1x",Spring2021,2021,Spring,0,0,0
2,5,5-Feb,H1x1x,Herbicide 1x1x,10,"2,5,H1x1x",Spring2021,2021,Spring,0,0,0
3,2,2-Mar,H1x1x,Herbicide 1x1x,10,"3,2,H1x1x",Spring2021,2021,Spring,0,0,0
4,8,8-Apr,H1x1x,Herbicide 1x1x,10,"4,8,H1x1x",Spring2021,2021,Spring,0,0,0
1,2,2-Jan,H1x1x,Herbicide 1x1x,10,"1,2,H1x1x",Spring2022,2022,Spring,9,3,1
2,5,5-Feb,H1x1x,Herbicide 1x1x,10,"2,5,H1x1x",Spring2022,2022,Spring,1,1,0.301029996
3,2,2-Mar,H1x1x,Herbicide 1x1x,10,"3,2,H1x1x",Spring2022,2022,Spring,0,0,0
4,8,8-Apr,H1x1x,Herbicide 1x1x,10,"4,8,H1x1x",Spring2022,2022,Spring,4,2,0.698970004
1,2,2-Jan,H1x1x,Herbicide 1x1x,10,"1,2,H1x1x",Fall2020,2020,Fall,0,0,0
2,5,5-Feb,H1x1x,Herbicide 1x1x,10,"2,5,H1x1x",Fall2020,2020,Fall,0,0,0
3,2,2-Mar,H1x1x,Herbicide 1x1x,10,"3,2,H1x1x",Fall2020,2020,Fall,0,0,0
4,8,8-Apr,H1x1x,Herbicide 1x1x,10,"4,8,H1x1x",Fall2020,2020,Fall,0,0,0
1,2,12,H1x1x,Herbicide 1x1x,10,"1,2,H1x1x",Fall2022,2022,Fall,35,5.916079783,1.556302501
2,5,25,H1x1x,Herbicide 1x1x,10,"2,5,H1x1x",Fall2022,2022,Fall,2,1.414213562,0.477121255
3,2,32,H1x1x,Herbicide 1x1x,10,"3,2,H1x1x",Fall2022,2022,Fall,0,0,0
4,8,48,H1x1x,Herbicide 1x1x,10,"4,8,H1x1x",Fall2022,2022,Fall,10,3.16227766,1.041392685
1,7,7-Jan,H2x1x,Herbicide 3x,14,"1,7,H2x1x",Fall2019,2019,Fall,41,6.403124237,1.62324929
2,7,7-Feb,H2x1x,Herbicide 3x,14,"2,7,H2x1x",Fall2019,2019,Fall,12,3.464101615,1.113943352
3,8,8-Mar,H2x1x,Herbicide 3x,14,"3,8,H2x1x",Fall2019,2019,Fall,3,1.732050808,0.602059991
4,5,5-Apr,H2x1x,Herbicide 3x,14,"4,5,H2x1x",Fall2019,2019,Fall,2,1.414213562,0.477121255
1,7,7-Jan,H2x1x,Herbicide 3x,14,"1,7,H2x1x",Spring2019,2019,Spring,2,1.414213562,0.477121255
2,7,7-Feb,H2x1x,Herbicide 3x,14,"2,7,H2x1x",Spring2019,2019,Spring,7,2.645751311,0.903089987
3,8,8-Mar,H2x1x,Herbicide 3x,14,"3,8,H2x1x",Spring2019,2019,Spring,5,2.236067977,0.77815125
4,5,5-Apr,H2x1x,Herbicide 3x,14,"4,5,H2x1x",Spring2019,2019,Spring,32,5.656854249,1.51851394
1,7,7-Jan,H2x1x,Herbicide 3x,14,"1,7,H2x1x",Spring2020,2020,Spring,0,0,0
2,7,7-Feb,H2x1x,Herbicide 3x,14,"2,7,H2x1x",Spring2020,2020,Spring,0,0,0
3,8,8-Mar,H2x1x,Herbicide 3x,14,"3,8,H2x1x",Spring2020,2020,Spring,0,0,0
4,5,5-Apr,H2x1x,Herbicide 3x,14,"4,5,H2x1x",Spring2020,2020,Spring,1,1,0.301029996
1,7,7-Jan,H2x1x,Herbicide 3x,14,"1,7,H2x1x",Fall2021,2021,Fall,6,2.449489743,0.84509804
2,7,7-Feb,H2x1x,Herbicide 3x,14,"2,7,H2x1x",Fall2021,2021,Fall,3,1.732050808,0.602059991
3,8,8-Mar,H2x1x,Herbicide 3x,14,"3,8,H2x1x",Fall2021,2021,Fall,1,1,0.301029996
4,5,5-Apr,H2x1x,Herbicide 3x,14,"4,5,H2x1x",Fall2021,2021,Fall,1,1,0.301029996
1,7,7-Jan,H2x1x,Herbicide 3x,14,"1,7,H2x1x",Spring2021,2021,Spring,0,0,0
2,7,7-Feb,H2x1x,Herbicide 3x,14,"2,7,H2x1x",Spring2021,2021,Spring,0,0,0
3,8,8-Mar,H2x1x,Herbicide 3x,14,"3,8,H2x1x",Spring2021,2021,Spring,0,0,0
4,5,5-Apr,H2x1x,Herbicide 3x,14,"4,5,H2x1x",Spring2021,2021,Spring,0,0,0
1,7,7-Jan,H2x1x,Herbicide 3x,14,"1,7,H2x1x",Spring2022,2022,Spring,1,1,0.301029996
2,7,7-Feb,H2x1x,Herbicide 3x,14,"2,7,H2x1x",Spring2022,2022,Spring,1,1,0.301029996
3,8,8-Mar,H2x1x,Herbicide 3x,14,"3,8,H2x1x",Spring2022,2022,Spring,1,1,0.301029996
4,5,5-Apr,H2x1x,Herbicide 3x,14,"4,5,H2x1x",Spring2022,2022,Spring,1,1,0.301029996
1,7,7-Jan,H2x1x,Herbicide 3x,14,"1,7,H2x1x",Fall2020,2020,Fall,0,0,0
2,7,7-Feb,H2x1x,Herbicide 3x,14,"2,7,H2x1x",Fall2020,2020,Fall,0,0,0
3,8,8-Mar,H2x1x,Herbicide 3x,14,"3,8,H2x1x",Fall2020,2020,Fall,0,0,0
4,5,5-Apr,H2x1x,Herbicide 3x,14,"4,5,H2x1x",Fall2020,2020,Fall,0,0,0
1,7,17,H2x1x,Herbicide 3x,14,"1,7,H2x1x",Fall2022,2022,Fall,4,2,0.698970004
2,7,27,H2x1x,Herbicide 3x,14,"2,7,H2x1x",Fall2022,2022,Fall,2,1.414213562,0.477121255
3,8,38,H2x1x,Herbicide 3x,14,"3,8,H2x1x",Fall2022,2022,Fall,6,2.449489743,0.84509804
4,5,45,H2x1x,Herbicide 3x,14,"4,5,H2x1x",Fall2022,2022,Fall,2,1.414213562,0.477121255
1,3,3-Jan,P,Manual removal,7,"1,3,P",Fall2019,2019,Fall,55,7.416198487,1.748188027
2,8,8-Feb,P,Manual removal,7,"2,8,P",Fall2019,2019,Fall,102,10.09950494,2.012837225
3,7,7-Mar,P,Manual removal,7,"3,7,P",Fall2019,2019,Fall,32,5.656854249,1.51851394
4,2,2-Apr,P,Manual removal,7,"4,2,P",Fall2019,2019,Fall,82,9.055385138,1.919078092
1,3,3-Jan,P,Manual removal,7,"1,3,P",Spring2019,2019,Spring,149,12.20655562,2.176091259
2,8,8-Feb,P,Manual removal,7,"2,8,P",Spring2019,2019,Spring,186,13.6381817,2.271841607
3,7,7-Mar,P,Manual removal,7,"3,7,P",Spring2019,2019,Spring,121,11,2.086359831
4,2,2-Apr,P,Manual removal,7,"4,2,P",Spring2019,2019,Spring,402,20.04993766,2.605305046
1,3,3-Jan,P,Manual removal,7,"1,3,P",Spring2020,2020,Spring,31,5.567764363,1.505149978
2,8,8-Feb,P,Manual removal,7,"2,8,P",Spring2020,2020,Spring,12,3.464101615,1.113943352
3,7,7-Mar,P,Manual removal,7,"3,7,P",Spring2020,2020,Spring,103,10.14889157,2.017033339
4,2,2-Apr,P,Manual removal,7,"4,2,P",Spring2020,2020,Spring,120,10.95445115,2.08278537
1,3,3-Jan,P,Manual removal,7,"1,3,P",Fall2021,2021,Fall,35,5.916079783,1.556302501
2,8,8-Feb,P,Manual removal,7,"2,8,P",Fall2021,2021,Fall,97,9.848857802,1.991226076
3,7,7-Mar,P,Manual removal,7,"3,7,P",Fall2021,2021,Fall,68,8.246211251,1.838849091
4,2,2-Apr,P,Manual removal,7,"4,2,P",Fall2021,2021,Fall,144,12,2.161368002
1,3,3-Jan,P,Manual removal,7,"1,3,P",Spring2021,2021,Spring,1,1,0.301029996
2,8,8-Feb,P,Manual removal,7,"2,8,P",Spring2021,2021,Spring,2,1.414213562,0.477121255
3,7,7-Mar,P,Manual removal,7,"3,7,P",Spring2021,2021,Spring,0,0,0
4,2,2-Apr,P,Manual removal,7,"4,2,P",Spring2021,2021,Spring,2,1.414213562,0.477121255
1,3,3-Jan,P,Manual removal,7,"1,3,P",Spring2022,2022,Spring,40,6.32455532,1.612783857
2,8,8-Feb,P,Manual removal,7,"2,8,P",Spring2022,2022,Spring,104,10.19803903,2.021189299
3,7,7-Mar,P,Manual removal,7,"3,7,P",Spring2022,2022,Spring,59,7.681145748,1.77815125
4,2,2-Apr,P,Manual removal,7,"4,2,P",Spring2022,2022,Spring,270,16.43167673,2.432969291
1,3,3-Jan,P,Manual removal,7,"1,3,P",Fall2020,2020,Fall,0,0,0
2,8,8-Feb,P,Manual removal,7,"2,8,P",Fall2020,2020,Fall,0,0,0
3,7,7-Mar,P,Manual removal,7,"3,7,P",Fall2020,2020,Fall,0,0,0
4,2,2-Apr,P,Manual removal,7,"4,2,P",Fall2020,2020,Fall,0,0,0
1,3,13,P,Manual removal,7,"1,3,P",Fall2022,2022,Fall,47,6.8556546,1.681241237
2,8,28,P,Manual removal,7,"2,8,P",Fall2022,2022,Fall,39,6.244997998,1.602059991
3,7,37,P,Manual removal,7,"3,7,P",Fall2022,2022,Fall,61,7.810249676,1.792391689
4,2,42,P,Manual removal,7,"4,2,P",Fall2022,2022,Fall,113,10.63014581,2.056904851
1,1,1-Jan,PH,Manual removal and herbicide,11,"1,1,PH",Fall2019,2019,Fall,49,7,1.698970004
2,2,2-Feb,PH,Manual removal and herbicide,11,"2,2,PH",Fall2019,2019,Fall,4,2,0.698970004
3,3,3-Mar,PH,Manual removal and herbicide,11,"3,3,PH",Fall2019,2019,Fall,5,2.236067977,0.77815125
4,1,1-Apr,PH,Manual removal and herbicide,11,"4,1,PH",Fall2019,2019,Fall,5,2.236067977,0.77815125
1,1,1-Jan,PH,Manual removal and herbicide,11,"1,1,PH",Spring2019,2019,Spring,62,7.874007874,1.799340549
2,2,2-Feb,PH,Manual removal and herbicide,11,"2,2,PH",Spring2019,2019,Spring,20,4.472135955,1.322219295
3,3,3-Mar,PH,Manual removal and herbicide,11,"3,3,PH",Spring2019,2019,Spring,53,7.280109889,1.73239376
4,1,1-Apr,PH,Manual removal and herbicide,11,"4,1,PH",Spring2019,2019,Spring,139,11.78982612,2.146128036
1,1,1-Jan,PH,Manual removal and herbicide,11,"1,1,PH",Spring2020,2020,Spring,2,1.414213562,0.477121255
2,2,2-Feb,PH,Manual removal and herbicide,11,"2,2,PH",Spring2020,2020,Spring,3,1.732050808,0.602059991
3,3,3-Mar,PH,Manual removal and herbicide,11,"3,3,PH",Spring2020,2020,Spring,8,2.828427125,0.954242509
4,1,1-Apr,PH,Manual removal and herbicide,11,"4,1,PH",Spring2020,2020,Spring,7,2.645751311,0.903089987
1,1,1-Jan,PH,Manual removal and herbicide,11,"1,1,PH",Fall2021,2021,Fall,2,1.414213562,0.477121255
2,2,2-Feb,PH,Manual removal and herbicide,11,"2,2,PH",Fall2021,2021,Fall,13,3.605551275,1.146128036
3,3,3-Mar,PH,Manual removal and herbicide,11,"3,3,PH",Fall2021,2021,Fall,3,1.732050808,0.602059991
4,1,1-Apr,PH,Manual removal and herbicide,11,"4,1,PH",Fall2021,2021,Fall,8,2.828427125,0.954242509
1,1,1-Jan,PH,Manual removal and herbicide,11,"1,1,PH",Spring2021,2021,Spring,0,0,0
2,2,2-Feb,PH,Manual removal and herbicide,11,"2,2,PH",Spring2021,2021,Spring,2,1.414213562,0.477121255
3,3,3-Mar,PH,Manual removal and herbicide,11,"3,3,PH",Spring2021,2021,Spring,0,0,0
4,1,1-Apr,PH,Manual removal and herbicide,11,"4,1,PH",Spring2021,2021,Spring,0,0,0
1,1,1-Jan,PH,Manual removal and herbicide,11,"1,1,PH",Spring2022,2022,Spring,1,1,0.301029996
2,2,2-Feb,PH,Manual removal and herbicide,11,"2,2,PH",Spring2022,2022,Spring,8,2.828427125,0.954242509
3,3,3-Mar,PH,Manual removal and herbicide,11,"3,3,PH",Spring2022,2022,Spring,3,1.732050808,0.602059991
4,1,1-Apr,PH,Manual removal and herbicide,11,"4,1,PH",Spring2022,2022,Spring,16,4,1.230448921
1,1,1-Jan,PH,Manual removal and herbicide,11,"1,1,PH",Fall2020,2020,Fall,0,0,0
2,2,2-Feb,PH,Manual removal and herbicide,11,"2,2,PH",Fall2020,2020,Fall,0,0,0
3,3,3-Mar,PH,Manual removal and herbicide,11,"3,3,PH",Fall2020,2020,Fall,0,0,0
4,1,1-Apr,PH,Manual removal and herbicide,11,"4,1,PH",Fall2020,2020,Fall,0,0,0
1,1,11,PH,Manual removal and herbicide,11,"1,1,PH",Fall2022,2022,Fall,2,1.414213562,0.477121255
2,2,22,PH,Manual removal and herbicide,11,"2,2,PH",Fall2022,2022,Fall,3,1.732050808,0.602059991
3,3,33,PH,Manual removal and herbicide,11,"3,3,PH",Fall2022,2022,Fall,5,2.236067977,0.77815125
4,1,41,PH,Manual removal and herbicide,11,"4,1,PH",Fall2022,2022,Fall,7,2.645751311,0.903089987
