BlockPlot,Block,Plot,Treatment,Code,Year,Measured costs
BP1-2,1,2,Herbicide 2x,H1x1x,2021,0.146052102
BP1-2,1,2,Herbicide 2x,H1x1x,2022,0.476291498
BP2-5,2,5,Herbicide 2x,H1x1x,2018,5.438309407
BP2-5,2,5,Herbicide 2x,H1x1x,2019,1.318788847
BP2-5,2,5,Herbicide 2x,H1x1x,2020,0
BP2-5,2,5,Herbicide 2x,H1x1x,2021,0.01356627
BP2-5,2,5,Herbicide 2x,H1x1x,2022,3.525155451
BP3-2,3,2,Herbicide 2x,H1x1x,2018,3.140666782
BP3-2,3,2,Herbicide 2x,H1x1x,2019,0.82978994
BP3-2,3,2,Herbicide 2x,H1x1x,2020,0.123296134
BP3-2,3,2,Herbicide 2x,H1x1x,2021,0
BP3-2,3,2,Herbicide 2x,H1x1x,2022,0
BP4-8,4,8,Herbicide 2x,H1x1x,2018,3.687232812
BP4-8,4,8,Herbicide 2x,H1x1x,2019,2.236716452
BP4-8,4,8,Herbicide 2x,H1x1x,2020,0.615567941
BP4-8,4,8,Herbicide 2x,H1x1x,2021,0.552662432
BP4-8,4,8,Herbicide 2x,H1x1x,2022,7.205854468
BP1-7,1,7,Herbicide 3x,H2x1x,2018,5.178699795
BP1-7,1,7,Herbicide 3x,H2x1x,2019,1.186971608
BP1-7,1,7,Herbicide 3x,H2x1x,2020,0
BP1-7,1,7,Herbicide 3x,H2x1x,2021,0.089503079
BP1-7,1,7,Herbicide 3x,H2x1x,2022,0.131793698
BP2-7,2,7,Herbicide 3x,H2x1x,2018,5.243525881
BP2-7,2,7,Herbicide 3x,H2x1x,2019,0.556262046
BP2-7,2,7,Herbicide 3x,H2x1x,2020,0
BP2-7,2,7,Herbicide 3x,H2x1x,2021,0.077192873
BP2-7,2,7,Herbicide 3x,H2x1x,2022,3.404626476
BP3-8,3,8,Herbicide 3x,H2x1x,2018,3.298178258
BP3-8,3,8,Herbicide 3x,H2x1x,2019,0.206958699
BP3-8,3,8,Herbicide 3x,H2x1x,2020,0
BP3-8,3,8,Herbicide 3x,H2x1x,2021,0.006574603
BP3-8,3,8,Herbicide 3x,H2x1x,2022,0.068420206
BP4-5,4,5,Herbicide 3x,H2x1x,2018,5.585680737
BP4-5,4,5,Herbicide 3x,H2x1x,2019,1.118912687
BP4-5,4,5,Herbicide 3x,H2x1x,2020,0.010305928
BP4-5,4,5,Herbicide 3x,H2x1x,2021,0.017157762
BP4-5,4,5,Herbicide 3x,H2x1x,2022,3.384624095
BP1-3,1,3,Manual removal,P,2018,9.266288889
BP1-3,1,3,Manual removal,P,2019,27.10398822
BP1-3,1,3,Manual removal,P,2020,2.570416333
BP1-3,1,3,Manual removal,P,2021,0.057937611
BP1-3,1,3,Manual removal,P,2022,2.915711444
BP2-8,2,8,Manual removal,P,2018,6.264533333
BP2-8,2,8,Manual removal,P,2019,32.78112833
BP2-8,2,8,Manual removal,P,2020,2.019752667
BP2-8,2,8,Manual removal,P,2021,0.153070889
BP2-8,2,8,Manual removal,P,2022,4.365596667
BP3-7,3,7,Manual removal,P,2018,4.465344444
BP3-7,3,7,Manual removal,P,2019,19.09470778
BP3-7,3,7,Manual removal,P,2020,7.361199556
BP3-7,3,7,Manual removal,P,2021,0
BP3-7,3,7,Manual removal,P,2022,4.241051778
BP4-2,4,2,Manual removal,P,2018,14.82233333
BP4-2,4,2,Manual removal,P,2019,56.032615
BP4-2,4,2,Manual removal,P,2020,6.995675222
BP4-2,4,2,Manual removal,P,2021,0.223360444
BP4-2,4,2,Manual removal,P,2022,17.64472933
BP1-1,1,1,Manual removal and herbicide,PH,2018,8.050534029
BP1-1,1,1,Manual removal and herbicide,PH,2019,6.207380192
BP1-1,1,1,Manual removal and herbicide,PH,2020,0.135545111
BP1-1,1,1,Manual removal and herbicide,PH,2021,0.033469214
BP1-1,1,1,Manual removal and herbicide,PH,2022,0.061109333
BP2-2,2,2,Manual removal and herbicide,PH,2018,6.459869065
BP2-2,2,2,Manual removal and herbicide,PH,2019,3.470470073
BP2-2,2,2,Manual removal and herbicide,PH,2020,0.251327111
BP2-2,2,2,Manual removal and herbicide,PH,2021,0.494909149
BP2-2,2,2,Manual removal and herbicide,PH,2022,0.503190467
BP3-3,3,3,Manual removal and herbicide,PH,2018,5.624861773
BP3-3,3,3,Manual removal and herbicide,PH,2019,6.300289769
BP3-3,3,3,Manual removal and herbicide,PH,2020,1.560353556
BP3-3,3,3,Manual removal and herbicide,PH,2021,0.112291039
BP3-3,3,3,Manual removal and herbicide,PH,2022,7.221832333
BP4-1,4,1,Manual removal and herbicide,PH,2018,13.51467148
BP4-1,4,1,Manual removal and herbicide,PH,2019,18.24702338
BP4-1,4,1,Manual removal and herbicide,PH,2020,0.370371889
BP4-1,4,1,Manual removal and herbicide,PH,2021,0.294378403
BP4-1,4,1,Manual removal and herbicide,PH,2022,4.469796022
