Block-Plot,Block,Plot,Treatment,Code,Year,Measured costs
41,4,1,Manual removal and herbicide,PH,2019,18.24702338
41,4,1,Manual removal and herbicide,PH,2020,0.370371889
41,4,1,Manual removal and herbicide,PH,2021,0.294378403
41,4,1,Manual removal and herbicide,PH,2022,4.469796022
42,4,2,Manual removal,P,2018,14.82233333
42,4,2,Manual removal,P,2019,56.032615
42,4,2,Manual removal,P,2020,6.995675222
42,4,2,Manual removal,P,2021,0.223360444
42,4,2,Manual removal,P,2022,17.64472933
43,4,3,Control Reference,CR,2018,0
43,4,3,Control Reference,CR,2019,0
43,4,3,Control Reference,CR,2020,0
43,4,3,Control Reference,CR,2021,0.221377774
43,4,3,Control Reference,CR,2022,0
44,4,4,Cut and herbicide,CH,2018,6.181166067
44,4,4,Cut and herbicide,CH,2019,15.34735999
44,4,4,Cut and herbicide,CH,2020,0.73611402
44,4,4,Cut and herbicide,CH,2021,0
44,4,4,Cut and herbicide,CH,2022,1.52415496
45,4,5,Herbicide 3x,H2x1x,2018,5.585680737
45,4,5,Herbicide 3x,H2x1x,2019,1.118912687
45,4,5,Herbicide 3x,H2x1x,2020,0.010305928
45,4,5,Herbicide 3x,H2x1x,2021,0.017157762
45,4,5,Herbicide 3x,H2x1x,2022,3.384624095
46,4,6,Herbicide 1x,H1x,2018,1.942859043
46,4,6,Herbicide 1x,H1x,2019,1.789071521
46,4,6,Herbicide 1x,H1x,2020,0.656742926
46,4,6,Herbicide 1x,H1x,2021,0.011095881
46,4,6,Herbicide 1x,H1x,2022,0.526106061
47,4,7,Invaded control,CNT,2018,0
47,4,7,Invaded control,CNT,2019,0
47,4,7,Invaded control,CNT,2020,0
47,4,7,Invaded control,CNT,2021,0
47,4,7,Invaded control,CNT,2022,0
48,4,8,Herbicide 2x,H1x1x,2018,3.687232812
48,4,8,Herbicide 2x,H1x1x,2019,2.236716452
48,4,8,Herbicide 2x,H1x1x,2020,0.615567941
48,4,8,Herbicide 2x,H1x1x,2021,0.552662432
48,4,8,Herbicide 2x,H1x1x,2022,7.205854468
18a,1,8a,CNT - Herbicide 2x,CNT-H,2018,0
18a,1,8a,CNT - Herbicide 2x,CNT-H,2019,0
18a,1,8a,CNT - Herbicide 2x,CNT-H,2020,0.986402545
18a,1,8a,CNT - Herbicide 2x,CNT-H,2021,2.21373049
18a,1,8a,CNT - Herbicide 2x,CNT-H,2022,2.348044155
18b,1,8b,CNT - Manual removal 2x,CNT-P,2018,0
18b,1,8b,CNT - Manual removal 2x,CNT-P,2019,0
18b,1,8b,CNT - Manual removal 2x,CNT-P,2020,0.656843778
18b,1,8b,CNT - Manual removal 2x,CNT-P,2021,1.447647889
18b,1,8b,CNT - Manual removal 2x,CNT-P,2022,1.596617
24a,2,4a,CNT - Manual removal 2x,CNT-P,2018,0
24a,2,4a,CNT - Manual removal 2x,CNT-P,2019,0
24a,2,4a,CNT - Manual removal 2x,CNT-P,2020,12.40396244
24a,2,4a,CNT - Manual removal 2x,CNT-P,2021,3.670718222
24a,2,4a,CNT - Manual removal 2x,CNT-P,2022,0.892509556
24b,2,4b,CNT - Herbicide 2x,CNT-H,2018,0
24b,2,4b,CNT - Herbicide 2x,CNT-H,2019,0
24b,2,4b,CNT - Herbicide 2x,CNT-H,2020,2.081486106
24b,2,4b,CNT - Herbicide 2x,CNT-H,2021,2.301481641
24b,2,4b,CNT - Herbicide 2x,CNT-H,2022,1.285452189
35a,3,5a,CNT - Herbicide 2x,CNT-H,2018,0
35a,3,5a,CNT - Herbicide 2x,CNT-H,2019,0
35a,3,5a,CNT - Herbicide 2x,CNT-H,2020,2.042793371
35a,3,5a,CNT - Herbicide 2x,CNT-H,2021,2.454698713
35a,3,5a,CNT - Herbicide 2x,CNT-H,2022,0.835782607
35b,3,5b,CNT - Manual removal 2x,CNT-P,2018,0
35b,3,5b,CNT - Manual removal 2x,CNT-P,2019,0
35b,3,5b,CNT - Manual removal 2x,CNT-P,2020,3.805704
35b,3,5b,CNT - Manual removal 2x,CNT-P,2021,1.998964111
35b,3,5b,CNT - Manual removal 2x,CNT-P,2022,0.167706778
47a,4,7a,CNT - Herbicide 2x,CNT-H,2018,0
47a,4,7a,CNT - Herbicide 2x,CNT-H,2019,0
47a,4,7a,CNT - Herbicide 2x,CNT-H,2020,2.430788492
47a,4,7a,CNT - Herbicide 2x,CNT-H,2021,2.052578948
47a,4,7a,CNT - Herbicide 2x,CNT-H,2022,0.720810344
47b,4,7b,CNT - Manual removal 2x,CNT-P,2018,0
47b,4,7b,CNT - Manual removal 2x,CNT-P,2019,0
47b,4,7b,CNT - Manual removal 2x,CNT-P,2020,13.17416444
47b,4,7b,CNT - Manual removal 2x,CNT-P,2021,17.39535989
47b,4,7b,CNT - Manual removal 2x,CNT-P,2022,6.497157389
